Algorithm,Data Size (MB),Encryption Time (ms),Encryption Speed (MBps),Decryption Time (ms),Decryption Speed (MBps),CPU Usage (%)
AES,1,1.1379718780517578,878.7563377330819,0.7637739181518555,1309.2879662868738,0.8
AES,2,2.0487070083618164,976.2254884846792,1.275467872619629,1568.0520403013254,0.8
AES,4,3.9221286773681636,1019.854351816955,2.561044692993164,1561.8626300992387,2.3
AES,8,8.564400672912598,934.099221362018,5.988168716430664,1335.9677021205437,1.5
AES,16,16.91267490386963,946.0360404810473,11.112213134765625,1439.8571918983866,2.6
AES,32,35.56811809539795,899.6821230229884,23.64201545715332,1353.5225056422937,1.7
3DES,1,30.051875114440918,33.275793812928065,28.680729866027832,34.86661617996321,0.8
3DES,2,55.47480583190918,36.052401986950215,53.619980812072754,37.299528453947005,1.6
3DES,4,109.11502838134766,36.6585616971142,109.98351573944092,36.369086522713964,0.0
3DES,8,215.54977893829346,37.11439668091796,210.47422885894775,38.00940401763539,5.1
3DES,16,422.34950065612793,37.88331695703132,430.40971755981445,37.1738818786694,2.5
3DES,32,890.8591747283936,35.92037990713426,854.4240236282349,37.45213045873274,4.3
Blowfish,1,6.317782402038574,158.28338748693332,4.821300506591797,207.41291662545743,2.4
Blowfish,2,12.722396850585938,157.20308236634585,9.577298164367676,208.82716249150488,2.4
Blowfish,4,25.505852699279785,156.82675059567597,19.459128379821777,205.55905289919443,4.0
Blowfish,8,51.899099349975586,154.14525685798367,39.01951313018799,205.02562329027853,3.1
Blowfish,16,102.82795429229736,155.59971128588842,78.67903709411621,203.35785224291357,3.1
Blowfish,32,203.92484664916992,156.9205544386283,159.24124717712402,200.95296016117234,7.8
